課綱,跨部,跨系,已選,停修與否,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,性質,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,,,,4627504,EL275D,EL275,物聯網大數據智慧機器人創意電子設計(三),"Creative Electronic Design for IoT, Big Data, and Intelligent Robots",一般,電子二甲,選修,半,2,陳世綸,,,,,,,網路不開放加選，欲選修同學請聯繫授課老師,電子系,20,0,2,0,14,國語,4600B,0
◎,,,,,4632204,EL322D,ZA332,數位系統,Digital Systems ,一般,電子二甲,選修,半,3,梁新聰,5-678.,電學416,,,,,,電子系,35,25,3,3,135,國語,4600B,0
◎,,,,,4652504,EL525D,EL525,固態感測器與電路實作,Solid-state Sensors and electrics circuit Practicum,一般,電子二甲,選修,半,3,陳至信,,,,,,,欲選修同學請聯繫授課老師,電子系,30,20,2,0,34,國語,4600B,0
◎,,,,,4652504,EL525D,EL525,固態感測器與電路實作,Solid-state Sensors and electrics circuit Practicum,一般,電子二甲,選修,半,3,莊家翔,,,,,,,欲選修同學請聯繫授課老師,電子系,30,20,2,1,34,國語,4600B,0
◎,,,,,4652504,EL525D,EL525,固態感測器與電路實作,Solid-state Sensors and electrics circuit Practicum,一般,電子二甲,選修,半,3,鄭湘原,,,,,,,欲選修同學請聯繫授課老師,電子系,30,20,2,1,34,國語,4600B,0
◎,,,,,4600305,EL003E,ZA702,實用英文（二）,Practical English (II),一般,電子二乙,必修,半,1,呂亭慧,1-56.,全人303,,,,,,語言中心,45,44,2,2,0,英語,4600B,0
◎,,,V,,4622105,EL221E,ZA381,電子學(二),Electronics(II),一般,電子二乙,必修,半,3,劉宏煥,2-234.,電學講,,,,,非同步遠距教學,電子系,80,59,3,3,19,國語,4600B,0
◎,,,V,,4622205,EL222E,ZA630,電路學(二),Circuit Theory(II),一般,電子二乙,必修,半,3,邱奕世,5-234.,教學608,,,,,,電子系,70,54,3,3,11,國語,4600B,0
◎,,,V,,4622305,EL223E,ZA317,工程數學(二),Engineering Mathematics(II),一般,電子二乙,必修,半,3,邱奕世,4-567.,教學608,,,,,,電子系,70,53,3,3,13,國語,4600B,0
◎,,,V,,4622405,EL224E,EL219,電子實驗,Electronics Laboratory,一般,電子二乙,必修,半,1,劉宏煥,1-78C.,電學410,,,,,,電子系,60,54,1.5,1.5,2,國語,4600B,0
◎,,,,,4622505,EL225E,BE398,訊號與系統,Signals and Systems,一般,電子二乙,選修,半,3,楊緒文,2-8C.,教學608,3-6.,教學608,,,106起入學學生核心選修三選二，全英語授課,電子系,70,50,3,3,73,英語,4600B,0
◎,,,,,4600306,EL003F,ZA702,實用英文（二）,Practical English (II),一般,電子二丙,必修,半,1,呂家茵,1-56.,教學309,,,,,,語言中心,45,38,2,2,0,英語,4600B,0
◎,,,V,,4622106,EL221F,ZA381,電子學(二),Electronics(II),一般,電子二丙,必修,半,3,吳章銘,2-234.,教學605,,,,,,電子系,80,57,3,3,27,國語,4600B,0
◎,,,V,,4622206,EL222F,ZA630,電路學(二),Circuit Theory(II),一般,電子二丙,必修,半,3,梁新聰,4-234.,教學605,,,,,,電子系,80,55,3,3,13,國語,4600B,0
◎,,,V,,4622306,EL223F,ZA317,工程數學(二),Engineering Mathematics(II),一般,電子二丙,必修,半,3,鍾日龍,2-567.,教學605,,,,,,電子系,80,55,3,3,13,國語,4600B,0
