課綱,跨部,跨系,已選,停修與否,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,性質,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
,,,,,2097601,GE976A,GE976,設計思考與創意,Thinking & Creativity in Design,我,延伸選修通識,選修,半,1,,,,,,,,1學分密集性上課，3/6、3/13、3/20上課，必須全程參加。,通識中心,40,9,1,0,16,國語,,21
◎,,,,,2097901,GE979A,GE979,現代繪畫欣賞,Modern Painting,我,延伸選修通識,選修,半,2,謝慧青,5-78.,教學815,,,,,,通識中心,60,48,2,2,182,國語,,0
◎,,,,,2098501,GE985A,GE985,音樂基礎訓練,Musicianship,我,延伸選修通識,選修,半,2,陳文婉,1-34.,教學818,,,,,非同步遠距，部分周次須同步,通識中心,80,36,2,2,209,國語,,0
◎,,,,,2000818,GE008R,GE008,街頭行動藝術,Street Performance Art,物,研究生通識,選修,半,2,魏立心,4-34.,教學410,,,,,全英語授課,通識中心,10,4,0,0,4,英語,,1
◎,,,,,2003318,GE033R,GE033,研究生生涯探索,Self Exploration for Postgraduate,我,研究生通識,選修,半,2,曾陽晴,3-78.,教學105,,,,,非同步遠距,通識中心,115,32,2,2,41,國語,,48
◎,,,,,2003718,GE037R,GE037,義大利生活與藝術,Italian Living and Arts,我,研究生通識,選修,半,2,羅明芳,4-34.,風雅頌,,,,,,通識中心,10,4,0,0,10,國語,,1
◎,,,,,2003818,GE038R,GE038,職場情緒軟功夫,Emotion Soft Skills for Workplace,我,研究生通識,選修,半,2,蔡秀玲,1-CD.,教學615,,,,,非同步遠距,通識中心,15,7,0,0,27,國語,,0
◎,,,,,2003819,GE038S,GE038,職場情緒軟功夫,Emotion Soft Skills for Workplace,我,研究生通識,選修,半,2,蔡秀玲,1-EF.,教學615,,,,,非同步遠距,通識中心,15,7,0,0,26,國語,,0
◎,,,,,2010718,GE107R,GE107,國際現勢,Contemporary International Politics,人,研究生通識,選修,半,2,曾蘭淑,2-EF.,教學410,,,,,,通識中心,10,2,0,0,5,國語,,3
◎,,,,,2011918,GE119R,GE119,探索亞太安全議題,Exploring Asia-Pacific Security Issues,人,研究生通識,選修,半,2,黃基禎,2-CD.,教學302,,,,,全英語授課,通識中心,10,0,0,0,3,英語,,5
◎,,,,,2012618,GE126R,GE126,國際事務,International Affairs From Every Aspect,人,研究生通識,選修,半,2,林楚淇,3-78.,教學502,,,,,全英語授課,通識中心,10,1,0,0,2,英語,,4
◎,,,,,2013218,GE132R,GE132,全球化與台灣發展,Globalization and development of  Taiwan,人,研究生通識,選修,半,2,賴皆興,5-12.,教學302,,,,,,通識中心,10,0,0,0,0,國語,,5
◎,,,,,2013418,GE134R,GE134,北極生態與地緣政治的變化,Changes in Arctic ecology and geopolitics,人,研究生通識,選修,半,2,閻亢宗,4-56.,教學518,,,,,,通識中心,10,1,0,0,2,國語,,4
◎,,,,,2024618,GE246R,GE246,哲學概論,Introduction to Philosophy,天,研究生通識,選修,半,2,廖宣怡,2-56.,教學302,,,,,,通識中心,10,5,0,0,5,國語,,0
◎,,,,,2024818,GE248R,GE248,價值判斷與分析,Value Judgment and Analysis,天,研究生通識,選修,半,2,蘇友瑞,3-78.,懷恩106,,,,,,通識中心,10,2,0,0,3,國語,,3
◎,,,,,2024819,GE248S,GE248,價值判斷與分析,Value Judgment and Analysis,天,研究生通識,選修,半,2,蘇友瑞,4-56.,教學409,,,,,,通識中心,10,0,0,0,2,國語,,5
◎,,,,,2024820,GE248T,GE248,價值判斷與分析,Value Judgment and Analysis,天,研究生通識,選修,半,2,蘇友瑞,4-78.,教學409,,,,,,通識中心,10,0,0,0,2,國語,,5
◎,,,,,2026318,GE263R,GE263,哲學與生活,Philosophy and Living-Style,天,研究生通識,選修,半,2,錢玉舜,3-56.,教學302,,,,,,通識中心,10,5,0,0,13,國語,,0
◎,,,,,2027518,GE275R,GE275,生命與品格典範,Life and Character Exemplars,天,研究生通識,選修,半,2,李清義,4-56.,教學112,,,,,非同步遠距,通識中心,10,5,0,0,39,國語,,0
◎,,,,,2029818,GE298R,GE298,電影與基督信仰,Movie and Christian Faith,天,研究生通識,選修,半,2,張毅民,2-34.,科學B04,,,,,,通識中心,10,5,0,0,11,國語,,0
◎,,,,,2046018,GE460R,GE460,通識教育講座,Seminar on General Education,人,研究生通識,選修,半,2,黃信二,1-78.,教學615,,,,,,通識中心,30,4,0,0,5,國語,,11
◎,,,,,2048418,GE484R,GE484,愛情關係管理,Management of Love,人,研究生通識,選修,半,2,曾陽晴,1-34.,教學112,,,,,非同步遠距,通識中心,10,5,0,0,43,國語,,0
◎,,,,,2048419,GE484S,GE484,愛情關係管理,Management of Love,人,研究生通識,選修,半,2,曾陽晴,1-78.,教學112,,,,,非同步遠距,通識中心,10,5,0,0,38,國語,,0
◎,,,,,2048420,GE484T,GE484,愛情關係管理,Management of Love,人,研究生通識,選修,半,2,曾陽晴,4-34.,教學112,,,,,非同步遠距,通識中心,10,5,0,0,57,國語,,0
◎,,,,,2058718,GE587R,GE587,社會與個人,The Society and Individual,人,研究生通識,選修,半,2,蘇友瑞,2-56.,教學410,,,,,,通識中心,10,5,0,0,8,國語,,0
◎,,,,,2063118,GE631R,GE631,認識星空,Knowing The Heaven,物,研究生通識,選修,半,2,黃麗錦,5-34.,科學B04,,,,,,通識中心,10,5,0,0,29,國語,,0
◎,,,,,2063218,GE632R,GE632,綠色生活與永續環境,The Green Living and Sustainable Environment,物,研究生通識,選修,半,2,林裕豐,1-78.,科學B03,,,,,,通識中心,10,1,0,0,7,國語,,4
◎,,,,,2063618,GE636R,GE636,生態藝術,Ecological Art,物,研究生通識,選修,半,2,魏立心,2-CD.,教學410,,,,,全英語授課,通識中心,10,3,0,0,6,英語,,2
◎,,,,,2063718,GE637R,GE637,防災科技與生活,Disaster Prevention Technology and Life,物,研究生通識,選修,半,2,朱容練,2-12.,教學409,,,,,,通識中心,10,1,0,0,3,國語,,4
◎,,,,,2063918,GE639R,GE639,生活中的預防醫學,Preventive medicine in our life,物,研究生通識,選修,半,2,鍾憲輝,5-56.,教學302,,,,,,通識中心,10,5,0,0,17,國語,,0
◎,,,,,2064418,GE644R,GE644,生態工程與生活,Ecological Engineering and Life,物,研究生通識,選修,半,2,石栢岡,2-34.,教學410,,,,,,通識中心,10,5,0,0,9,國語,,0
◎,,,,,2064419,GE644S,GE644,生態工程與生活,Ecological Engineering and Life,物,研究生通識,選修,半,2,石栢岡,3-12.,教學815,,,,,,通識中心,10,0,0,0,0,國語,,5
◎,,,,,2064818,GE648R,GE648,進階創意思解,Advanced Creative Problem Solving,物,研究生通識,選修,半,2,廖慶榮,1-56.,教學410,,,,,,通識中心,10,2,0,0,4,國語,,3
◎,,,,,2065918,GE659R,GE659,創意思解,Creative Problem Solving,物,研究生通識,選修,半,2,廖慶榮,1-78.,教學410,,,,,非同步教學,通識中心,10,2,0,0,5,國語,,3
◎,,,,,2071518,GE715R,GE715,科技災害導論,Introduction of Catastrophe due to Sciences and Technology,物,研究生通識,選修,半,2,卓綵倫,4-56.,工學117,,,,,,通識中心,10,5,0,0,21,國語,,0
◎,,,,,2071518,GE715R,GE715,科技災害導論,Introduction of Catastrophe due to Sciences and Technology,物,研究生通識,選修,半,2,胡聖彥,4-56.,工學117,,,,,,通識中心,10,5,0,0,21,國語,,0
◎,,,,,2072818,GE728R,GE728,人工智慧導論,Intro to Artificial Intelligence,物,研究生通識,選修,半,1,余執彰,,,,,,,非同步遠距，無面授,通識中心,40,5,0,0,15,國語,,15
◎,,,,,2072818,GE728R,GE728,人工智慧導論,Intro to Artificial Intelligence,物,研究生通識,選修,半,1,張元翔,,,,,,,非同步遠距，無面授,通識中心,40,5,0,0,15,國語,,15
◎,,,,,2073018,GE730R,GE730,全球變遷與永續發展,Global Change and Sustainable Development,物,研究生通識,選修,半,2,王怡心,4-78.,教學816,,,,,,通識中心,10,1,0,0,1,國語,,4
◎,,,,,2073318,GE733R,GE733,網際網路的探索,A Guided Exploration of the Internet,物,研究生通識,選修,半,2,張蛟川,5-56.,教學510,,,,,英語授課,通識中心,10,1,0,0,1,英語,,4
◎,,,,,2073418,GE734R,GE734,認識資訊科技,Understanding Information Technology,物,研究生通識,選修,半,1,吳宜鴻,,,,,,,非同步遠距(無面授，詳i-learning),通識中心,40,10,1,0.5,21,國語,,10
◎,,,,,2073418,GE734R,GE734,認識資訊科技,Understanding Information Technology,物,研究生通識,選修,半,1,朱守禮,,,,,,,非同步遠距(無面授，詳i-learning),通識中心,40,10,1,0.5,21,國語,,10
◎,,,,,2073518,GE735R,GE735,未來執行長的物理管理學,Physics Inspired Management,物,研究生通識,選修,半,2,嚴奇峰,4-67.,管理321,,,,,,通識中心,20,0,0,0,0,國語,,0
◎,,,,,2073518,GE735R,GE735,未來執行長的物理管理學,Physics Inspired Management,物,研究生通識,選修,半,2,張慶瑞,4-67.,管理321,,,,,,通識中心,20,0,0,0,0,國語,,0
◎,,,,,2073618,GE736R,GE736,生醫材料解密,Decryption of Biomaterials,物,研究生通識,選修,半,1,陳民樺,1-6.,工學314,,,,,非同步遠距，部分課程需面授,通識中心,10,0,0,0,1,國語,,5
◎,,,,,2075218,GE752R,GE752,認知的科學,The Science of Cognition,物,研究生通識,選修,半,2,蘇友瑞,2-78.,教學410,,,,,,通識中心,10,0,0,0,3,國語,,5
◎,,,,,2077918,GE779R,GE779,大腦與生活,Brain and Life,物,研究生通識,選修,半,2,洪蘭,4-56.,教學105,,,,,,通識中心,10,5,0,0,13,國語,,0
◎,,,,,2078018,GE780R,GE780,飲食與生醫保健,Food and Biomedical Health,物,研究生通識,選修,半,1,陳中庸,,,,,,,非同步遠距，無面授課程,通識中心,10,5,0,0,19,國語,,0
◎,,,,,2078018,GE780R,GE780,飲食與生醫保健,Food and Biomedical Health,物,研究生通識,選修,半,1,陳怡寧,,,,,,,非同步遠距，無面授課程,通識中心,10,5,0,0,19,國語,,0
◎,,,,,2078018,GE780R,GE780,飲食與生醫保健,Food and Biomedical Health,物,研究生通識,選修,半,1,詹文雄,,,,,,,非同步遠距，無面授課程,通識中心,10,5,0,0,19,國語,,0
◎,,,,,2078018,GE780R,GE780,飲食與生醫保健,Food and Biomedical Health,物,研究生通識,選修,半,1,吳宗遠,,,,,,,非同步遠距，無面授課程,通識中心,10,5,0,0,19,國語,,0
◎,,,,,2078018,GE780R,GE780,飲食與生醫保健,Food and Biomedical Health,物,研究生通識,選修,半,1,蘇正元,,,,,,,非同步遠距，無面授課程,通識中心,10,5,0,0,19,國語,,0
◎,,,,,2078018,GE780R,GE780,飲食與生醫保健,Food and Biomedical Health,物,研究生通識,選修,半,1,吳亮宜,,,,,,,非同步遠距，無面授課程,通識中心,10,5,0,0,19,國語,,0
◎,,,,,2087418,GE874R,GE874,中文經典閱讀,Readings the Chinese Classic,我,研究生通識,選修,半,2,向鴻全,4-56.,教學812,,,,,,通識中心,4,2,0,0,4,國語,,0
◎,,,,,2089918,GE899R,GE899,數位音樂名師專題,Music Master Series,我,研究生通識,選修,半,2,羅明芳,1-EF.,風雅頌,,,,,已修過數音專題勿選,通識中心,10,2,0,0,5,國語,,3
◎,,,,,2089918,GE899R,GE899,數位音樂名師專題,Music Master Series,我,研究生通識,選修,半,2,陳文婉,1-EF.,風雅頌,,,,,已修過數音專題勿選,通識中心,10,2,0,0,5,國語,,3
◎,,,,,2094618,GE946R,GE946,心理健康與調適,Mental Health and Adjustment,我,研究生通識,選修,半,2,江捷如,2-34.,教學618,,,,,,通識中心,4,2,0,0,15,國語,,0
◎,V,,,,2500118,GQ001R,GQ101,宗教哲學,Philosophy of Religion,宗哲,研究生通識,必修,半,2,李信毅,4-34.,工學310,,,,,與大學部合開課程,校牧室,3,3,0,0,4,國語,,0
◎,V,,,,2500218,GQ002R,GQ101,宗教哲學,Philosophy of Religion,宗哲,研究生通識,必修,半,2,吳昶興,4-56.,教學801,,,,,與大學部合開課程,校牧室,3,3,0,0,6,國語,,0
◎,V,,,,2500318,GQ003R,GQ101,宗教哲學,Philosophy of Religion,宗哲,研究生通識,必修,半,2,康克,2-56.,教學801,,,,,與大學部合開課程,校牧室,3,1,0,0,2,英語,,2
◎,V,,,,2500418,GQ004R,GQ201,人生哲學,Philosophy of Life,人哲,研究生通識,必修,半,2,王學晟,2-34.,教學601,,,,,與大學部合開課程,校牧室,3,0,0,0,0,國語,,3
◎,V,,,,2500518,GQ005R,GQ201,人生哲學,Philosophy of Life,人哲,研究生通識,必修,半,2,李清義,3-56.,教學801,,,,,與大學部合開課程,校牧室,3,3,0,0,6,國語,,0
◎,,,,,2500618,GQ006R,GQ201,人生哲學,Philosophy of Life,人哲,研究生通識,必修,半,2,李家遠,2-56.,教學601,,,,,"全英語授課,與大學部合開課程",校牧室,3,1,0,0,1,英語,,2
◎,,,,,2539418,GQ394R,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,研究生通識,必修,半,2,施少棠,1-CD.,教學505,,,,,,通識中心,10,2,0,0,13,國語,,3
◎,,,,,2539419,GQ394S,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,研究生通識,必修,半,2,施少棠,4-CD.,教學301,,,,,,通識中心,10,2,0,0,2,國語,,3
◎,,,,,2539420,GQ394T,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,研究生通識,必修,半,2,陳宏銘,2-34.,教學615,,,,,,通識中心,10,1,0,0,5,國語,,4
◎,,,,,2539518,GQ395R,GQ395,生活社會學,Sociology of Everyday Life,公民,研究生通識,必修,半,2,何彩滿,4-34.,教學310,,,,,,通識中心,10,1,0,0,1,國語,,4
◎,,,,,2545618,GQ456R,GQ456,區域文明史,History of Regional Civilizations,歷史,研究生通識,必修,半,2,楊凡逸,2-34.,教學302,,,,,全英語授課,通識中心,10,0,0,0,0,英語,,5
◎,,,,,2545619,GQ456S,GQ456,區域文明史,History of Regional Civilizations,歷史,研究生通識,必修,半,2,楊凡逸,2-56.,教學402,,,,,,通識中心,10,1,0,0,1,國語,,4
◎,,,,,2545718,GQ457R,GQ457,文化思想史,History of Cultures and Thoughts,歷史,研究生通識,必修,半,2,柯惠鈴,4-34.,教學615,,,,,,通識中心,10,4,0,0,8,國語,,1
◎,,,,不得停修,2107301,GR073A,GR073,游泳(女)一,Swimming (F) I,體育,體育興趣,必修,半,0,許富菁,2-78.,,,,,,,體育室,60,20,2,2,56,國語,,40
◎,,,,不得停修,2107302,GR073B,GR073,游泳(女)一,Swimming (F) I,體育,體育興趣,必修,半,0,許富菁,4-56.,,,,,,,體育室,60,37,2,2,70,國語,,23
◎,,,,不得停修,2107303,GR073C,GR073,游泳(女)一,Swimming (F) I,體育,體育興趣,必修,半,0,許富菁,4-78.,,,,,,,體育室,60,12,2,2,65,國語,,48
◎,,,,不得停修,2107401,GR074A,GR074,籃球(女)一,Basketball (F) 1,體育,體育興趣,必修,半,0,陳建廷,1-78.,,,,,,,體育室,73,73,2,2,278,國語,,0
◎,,,,不得停修,2107402,GR074B,GR074,籃球(女)一,Basketball (F) 1,體育,體育興趣,必修,半,0,陳建廷,2-78.,,,,,,,體育室,73,73,2,2,300,國語,,0
◎,,,,不得停修,2107403,GR074C,GR074,籃球(女)一,Basketball (F) 1,體育,體育興趣,必修,半,0,卓漢薇,2-DE.,,,,,,,體育室,60,59,2,2,177,國語,,1
◎,,,,不得停修,2107404,GR074D,GR074,籃球(女)一,Basketball (F) 1,體育,體育興趣,必修,半,0,卓漢薇,2-FG.,,,,,,,體育室,60,60,2,2,143,國語,,0
◎,,,,不得停修,2107407,GR074G,GR074,籃球(女)一,Basketball (F) 1,體育,體育興趣,必修,半,0,陳盈吉,1-56.,,,,,,,體育室,60,60,2,2,179,國語,,0
◎,,,,不得停修,2107408,GR074H,GR074,籃球(女)一,Basketball (F) 1,體育,體育興趣,必修,半,0,陳盈吉,1-DE.,,,,,,,體育室,60,60,2,2,245,國語,,0
◎,,,,不得停修,2107409,GR074I,GR074,籃球(女)一,Basketball (F) 1,體育,體育興趣,必修,半,0,陳盈吉,1-FG.,,,,,,,體育室,60,60,2,2,199,國語,,0
◎,,,,不得停修,2107410,GR074J,GR074,籃球(女)一,Basketball (F) 1,體育,體育興趣,必修,半,0,林冠綸,5-34.,,,,,,,體育室,60,60,2,2,185,國語,,0
◎,,,,不得停修,2107601,GR076A,GR076,桌球(女)一,Table Tennis (F) I,體育,體育興趣,必修,半,0,陳玉英,1-12.,,,,,,,體育室,60,60,2,2,230,國語,,0
◎,,,,不得停修,2107602,GR076B,GR076,桌球(女)一,Table Tennis (F) I,體育,體育興趣,必修,半,0,陳玉英,1-34.,,,,,,,體育室,60,60,2,2,341,國語,,0
◎,,,,不得停修,2107603,GR076C,GR076,桌球(女)一,Table Tennis (F) I,體育,體育興趣,必修,半,0,陳玉英,2-12.,,,,,,,體育室,60,60,2,2,300,國語,,0
◎,,,,不得停修,2107604,GR076D,GR076,桌球(女)一,Table Tennis (F) I,體育,體育興趣,必修,半,0,陳玉英,5-12.,,,,,,,體育室,60,60,2,2,348,國語,,0
◎,,,,不得停修,2107605,GR076E,GR076,桌球(女)一,Table Tennis (F) I,體育,體育興趣,必修,半,0,張世聰,4-56.,,,,,,,體育室,60,60,2,2,483,國語,,0
◎,,,,不得停修,2107801,GR078A,GR078,網球(女)一,Tennis (F) 1,體育,體育興趣,必修,半,0,孔建嘉,1-78.,,,,,,,體育室,60,60,2,1,376,國語,,0
◎,,,,不得停修,2107801,GR078A,GR078,網球(女)一,Tennis (F) 1,體育,體育興趣,必修,半,0,張世聰,1-78.,,,,,,,體育室,60,60,2,1,376,國語,,0
◎,,,,不得停修,2107802,GR078B,GR078,網球(女)一,Tennis (F) 1,體育,體育興趣,必修,半,0,張世聰,3-78.,,,,,,,體育室,60,60,2,2,344,國語,,0
◎,,,,不得停修,2107901,GR079A,GR079,壘球(女)一,Softball (F) I,體育,體育興趣,必修,半,0,詹富鈞,3-56.,,,,,,,體育室,60,60,2,2,195,國語,,0
◎,,,,不得停修,2107902,GR079B,GR079,壘球(女)一,Softball (F) I,體育,體育興趣,必修,半,0,詹富鈞,5-12.,,,,,,,體育室,60,60,2,2,187,國語,,0
◎,,,,不得停修,2108401,GR084A,GR084,體育特別班內礙組,Adopted Physical Education,體育,體育興趣,必修,半,0,孔建嘉,2-CD.,,,,,,需交醫生證明,體育室,80,52,2,2,58,國語,,28
◎,,,,不得停修,2108501,GR085A,GR085,體育特別班肢礙組,Special P.E. for Cripple and Amputee ,體育,體育興趣,必修,半,0,張世聰,1-DE.,,,,,,需交醫生證明,體育室,80,29,2,2,37,國語,,51
◎,,,,不得停修,2109101,GR091A,GR091,有氧舞蹈 (男.女)一,Aerobic Dance (M.F) 1,體育,體育興趣,必修,半,0,詹美玲,1-78.,,,,,,,體育室,60,60,2,2,183,國語,,0
◎,,,,不得停修,2109102,GR091B,GR091,有氧舞蹈 (男.女)一,Aerobic Dance (M.F) 1,體育,體育興趣,必修,半,0,詹美玲,2-78.,,,,,,,體育室,60,60,2,2,175,國語,,0
◎,,,,不得停修,2109103,GR091C,GR091,有氧舞蹈 (男.女)一,Aerobic Dance (M.F) 1,體育,體育興趣,必修,半,0,詹美玲,3-78.,,,,,,,體育室,60,60,2,2,214,國語,,0
◎,,,,不得停修,2109104,GR091D,GR091,有氧舞蹈 (男.女)一,Aerobic Dance (M.F) 1,體育,體育興趣,必修,半,0,詹美玲,4-78.,,,,,,,體育室,60,60,2,2,162,國語,,0
◎,,,,不得停修,2109201,GR092A,GR092,爵士舞(男.女)一,Jazz (M.F) 1,體育,體育興趣,必修,半,0,黃千瑜,5-56.,,,,,,,體育室,60,52,2,2,120,國語,,8
◎,,,,不得停修,2109202,GR092B,GR092,爵士舞(男.女)一,Jazz (M.F) 1,體育,體育興趣,必修,半,0,黃千瑜,5-78.,,,,,,,體育室,60,30,2,2,94,國語,,30
◎,,,,不得停修,2109501,GR095A,GR095,體育特別班體控組,Adapted P.E. for Obesity,體育,體育興趣,必修,半,0,陳建廷,3-DE.,,,,,,限BMI>34或BMI<16,體育室,80,18,2,2,20,國語,,62
◎,,,,不得停修,2117301,GR173A,GR173,游泳(男)一,Swimming (M) I,體育,體育興趣,必修,半,0,楊璁人,1-56.,,,,,,,體育室,60,33,2,2,46,國語,,27
◎,,,,不得停修,2117302,GR173B,GR173,游泳(男)一,Swimming (M) I,體育,體育興趣,必修,半,0,楊璁人,1-78.,,,,,,,體育室,60,29,2,2,69,國語,,31
◎,,,,不得停修,2117303,GR173C,GR173,游泳(男)一,Swimming (M) I,體育,體育興趣,必修,半,0,詹正豐,3-56.,,,,,,,體育室,60,17,2,2,57,國語,,43
◎,,,,不得停修,2117304,GR173D,GR173,游泳(男)一,Swimming (M) I,體育,體育興趣,必修,半,0,詹正豐,3-78.,,,,,,,體育室,60,38,2,2,67,國語,,22
◎,,,,不得停修,2117401,GR174A,GR174,籃球(男)一,Basketball (M) 1,體育,體育興趣,必修,半,0,蔣懷孝,2-56.,,,,,,,體育室,60,60,1,1,130,國語,,0
◎,,,,不得停修,2117402,GR174B,GR174,籃球(男)一,Basketball (M) 1,體育,體育興趣,必修,半,0,林冠綸,5-12.,,,,,,,體育室,60,60,2,2,143,國語,,0
◎,,,,不得停修,2117403,GR174C,GR174,籃球(男)一,Basketball (M) 1,體育,體育興趣,必修,半,0,詹益城,1-12.,,,,,,,體育室,60,59,2,2,95,國語,,1
◎,,,,不得停修,2117404,GR174D,GR174,籃球(男)一,Basketball (M) 1,體育,體育興趣,必修,半,0,詹益城,1-34.,,,,,,,體育室,60,59,2,2,109,國語,,1
◎,,,,不得停修,2117901,GR179A,GR179,壘球(男)一,Softball (M) I,體育,體育興趣,必修,半,0,蔡宗憲,1-12.,,,,,,,體育室,60,60,2,2,166,國語,,0
◎,,,,不得停修,2117902,GR179B,GR179,壘球(男)一,Softball (M) I,體育,體育興趣,必修,半,0,蔡宗憲,1-34.,,,,,,,體育室,60,60,2,2,183,國語,,0
◎,,,,不得停修,2117903,GR179C,GR179,壘球(男)一,Softball (M) I,體育,體育興趣,必修,半,0,蔡宗憲,2-12.,,,,,,,體育室,60,60,2,2,211,國語,,0
◎,,,,不得停修,2117904,GR179D,GR179,壘球(男)一,Softball (M) I,體育,體育興趣,必修,半,0,蔡宗憲,2-34.,,,,,,,體育室,60,60,2,2,228,國語,,0
◎,,,,不得停修,2117905,GR179E,GR179,壘球(男)一,Softball (M) I,體育,體育興趣,必修,半,0,風貞豪,4-56.,,,,,,,體育室,60,60,2,2,192,國語,,0
◎,,,,不得停修,2118402,GR184B,GR184,桌球(男.女)一,Table Tennis (Ping_Pong) (M.F) I,體育,體育興趣,必修,半,0,陳正如,2-56.,,,,,,,體育室,60,60,2,2,1139,國語,,0
◎,,,,不得停修,2118403,GR184C,GR184,桌球(男.女)一,Table Tennis (Ping_Pong) (M.F) I,體育,體育興趣,必修,半,0,陳正如,2-78.,,,,,,,體育室,60,60,2,2,1188,國語,,0
◎,,,,不得停修,2118404,GR184D,GR184,桌球(男.女)一,Table Tennis (Ping_Pong) (M.F) I,體育,體育興趣,必修,半,0,陳仕杰,1-56.,,,,,,,體育室,60,60,2,2,1042,國語,,0
◎,,,,不得停修,2118405,GR184E,GR184,桌球(男.女)一,Table Tennis (Ping_Pong) (M.F) I,體育,體育興趣,必修,半,0,陳仕杰,1-78.,,,,,,,體育室,60,60,2,2,1242,國語,,0
◎,,,,不得停修,2118701,GR187A,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,馬家嵋,1-56.,,,,,,第一次上課請到體育館,體育室,60,60,2,2,184,國語,,0
◎,,,,不得停修,2118702,GR187B,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,馬家嵋,1-78.,,,,,,第一次上課請到體育館,體育室,60,60,2,2,227,國語,,0
◎,,,,不得停修,2118703,GR187C,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,洪祥洲,5-56.,,,,,,第一次上課請到體育館,體育室,60,60,2,2,236,國語,,0
◎,,,,不得停修,2118704,GR187D,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,洪祥洲,2-34.,,,,,,第一次上課請到體育館,體育室,60,60,2,2,230,國語,,0
◎,,,,不得停修,2118705,GR187E,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,馬家嵋,2-56.,,,,,,第一次上課請到體育館,體育室,60,57,2,2,186,國語,,3
◎,,,,不得停修,2118706,GR187F,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,馬家嵋,2-78.,,,,,,第一次上課請到體育館,體育室,60,60,2,2,222,國語,,0
◎,,,,不得停修,2118707,GR187G,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,蘇榮立,3-12.,,,,,,第一次上課請到體育館,體育室,60,60,2,2,168,國語,,0
◎,,,,不得停修,2118708,GR187H,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,蘇榮立,3-56.,,,,,,第一次上課請到體育館,體育室,60,60,2,2,262,國語,,0
◎,,,,不得停修,2118709,GR187I,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,陳宇倫,4-12.,,,,,,第一次上課請到體育館,體育室,60,19,2,2,132,國語,,41
◎,,,,不得停修,2118710,GR187J,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,蘇榮立,1-12.,,,,,,第一次上課請到體育館,體育室,60,22,2,2,84,國語,,38
◎,,,,不得停修,2118711,GR187K,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,陳宇倫,4-34.,,,,,,第一次上課請到體育館,體育室,60,37,2,2,172,國語,,23
◎,,,,不得停修,2118712,GR187L,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,陳宇倫,4-56.,,,,,,第一次上課請到體育館,體育室,60,50,2,2,207,國語,,10
◎,,,,不得停修,2118713,GR187M,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,陳宇倫,4-78.,,,,,,第一次上課請到體育館,體育室,60,59,2,2,222,國語,,1
◎,,,,不得停修,2118714,GR187N,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,洪祥洲,5-78.,,,,,,第一次上課請到體育館,體育室,60,38,2,2,179,國語,,22
◎,,,,不得停修,2118715,GR187O,GR187,高爾夫(男.女)一,Golf (M.F) 1,體育,體育興趣,必修,半,0,蘇榮立,1-34.,,,,,,第一次上課請到體育館,體育室,60,40,2,2,104,國語,,20
◎,,,,不得停修,2118901,GR189A,GR189,田徑(男.女) 一,Track & Field (M.F) 1,體育,體育興趣,必修,半,0,陳克舟,3-A.,,5-A.,,,,"全英語授課,限校隊選修",體育室,200,124,0,0,131,英語,,76
◎,,,,不得停修,2119101,GR191A,GR191,木球 (男.女) 一,Woodball (M.F) 1,體育,體育興趣,必修,半,0,,4-12.,,,,,,第一次上課請到體育館門口,體育室,60,60,2,0,596,國語,,0
◎,,,,不得停修,2119102,GR191B,GR191,木球 (男.女) 一,Woodball (M.F) 1,體育,體育興趣,必修,半,0,,4-34.,,,,,,第一次上課請到體育館門口,體育室,60,60,2,0,765,國語,,0
◎,,,,不得停修,2119104,GR191D,GR191,木球 (男.女) 一,Woodball (M.F) 1,體育,體育興趣,必修,半,0,,4-78.,,,,,,第一次上課請到體育館門口,體育室,60,60,2,0,761,國語,,0
